Region,CancerSiteICD10Code,CancerSite,Sex,SexQF,Year,IncidencesAgeUnder5,IncidencesAge5To9,IncidencesAge10To14,IncidencesAge15To19,IncidencesAge20To24,IncidencesAge25To29,IncidencesAge30To34,IncidencesAge35To39,IncidencesAge40To44,IncidencesAge45To49,IncidencesAge50To54,IncidencesAge55To59,IncidencesAge60To64,IncidencesAge65To69,IncidencesAge70To74,IncidencesAge75To79,IncidencesAge80To84,IncidencesAge85To89,IncidencesAge90AndOver,IncidencesAllAges,IncidenceRateAgeUnder5,IncidenceRateAge5To9,IncidenceRateAge10To14,IncidenceRateAge15To19,IncidenceRateAge20To24,IncidenceRateAge25To29,IncidenceRateAge30To34,IncidenceRateAge35To39,IncidenceRateAge40To44,IncidenceRateAge45To49,IncidenceRateAge50To54,IncidenceRateAge55To59,IncidenceRateAge60To64,IncidenceRateAge65To69,IncidenceRateAge70To74,IncidenceRateAge75To79,IncidenceRateAge80To84,IncidenceRateAge85To89,IncidenceRateAge90AndOver,CrudeRate,CrudeRateLower95pcConfidenceInterval,CrudeRateUpper95pcConfidenceInterval,EASR,EASRLower95pcConfidenceInterval,EASRLower95pcConfidenceIntervalQF,EASRUpper95pcConfidenceInterval,EASRUpper95pcConfidenceIntervalQF,WASR,WASRLower95pcConfidenceInterval,WASRLower95pcConfidenceIntervalQF,WASRUpper95pcConfidenceInterval,WASRUpper95pcConfidenceIntervalQF,StandardisedIncidenceRatio,SIRLower95pcConfidenceInterval,SIRUpper95pcConfidenceInterval
North of Scotland,C18,Colon,Female, ,2015-2019,0,0,0,5,3,4,12,15,13,48,91,96,161,248,307,304,294,229,97,1927,0,0,0,2.7752800257546,1.42505628972344,1.81722364571408,5.4143073070589,7.09313762578497,6.15340922538045,19.378514879066,34.2614032115359,38.4295138666496,71.4977218427761,114.521618264351,166.57894594052,213.201671949954,268.4073583786,326.229414781469,231.929799392679,54.4351512658786,52.0315668389708,56.9211245116049,49.2475677850014,47.0630813213486, ,51.4809143282864, ,20.5980706002671,19.5373691570273, ,21.6864161017031, ,106.038212445372,101.356094546113,110.880821550586
North of Scotland,C19-C20,Rectum and rectosigmoid junction,All,d,2015-2019,0,0,0,0,3,5,7,11,29,47,107,149,204,238,267,216,216,122,46,1667,0,0,0,0,.690151764372986,1.09834589108802,1.57988223106455,2.60832244556312,6.9526024310134,9.72112773355009,20.5410946675702,30.2135632538183,45.8481571962503,55.9196073409757,75.6436081151143,82.6541154861669,113.505588573771,107.731976970082,76.7254895419822,23.8793398587294,22.7466559271524,25.0538265874455,23.721840880863,22.5840471123397, ,24.8872037542883, ,10.7067732009622,10.1470242196985, ,11.2813386547198, ,102.822401720976,97.9451612727678,107.879641449982
North of Scotland,C19-C20,Rectum and rectosigmoid junction,Male, ,2015-2019,0,0,0,0,0,4,1,8,12,34,64,90,134,172,174,130,135,71,19,1048,0,0,0,0,0,1.70130234694659,.451597752849582,3.80490356947516,5.82962908984916,14.419855292511,25.0683504242035,36.9840721929089,60.9742224649057,82.2738187488639,103.157570224219,109.481059776659,167.153682333713,164.93216874187,104.792896144725,30.4568114857054,28.640528299649,32.3580843750079,31.3953762058911,29.5029663539534, ,33.3457789128818, ,13.9757041250028,13.0761885503132, ,14.9047170648359, ,104.17940462672,97.9666958195068,110.682825962648
North of Scotland,C19-C20,Rectum and rectosigmoid junction,Female, ,2015-2019,0,0,0,0,3,1,6,3,17,13,43,59,70,66,93,86,81,51,27,619,0,0,0,0,1.42505628972344,.45430591142852,2.70715365352945,1.41862752515699,8.04676591011289,5.24834777974703,16.1894542647917,23.6181387305451,31.0859660185983,30.4775274413192,50.4620259689523,60.313630880579,73.9489660839001,72.6537124622486,64.5577792123951,17.4859152224073,16.135364588789,18.9193322686394,16.048305555835,14.8033520023299, ,17.3428066040188, ,7.43784227692158,6.78149836406292, ,8.12406935028005, ,100.603777109127,92.8334949596967,108.85082435769
North of Scotland,C53,Cervix uteri,Female, ,2015-2019,0,0,0,0,3,45,69,57,61,48,34,39,16,14,20,22,22,8,4,462,0,0,0,0,1.42505628972344,20.4437660142834,31.1322670155887,26.9539229779829,28.8736894421698,19.378514879066,12.8009638372772,15.6119900083264,7.10536366139389,6.46493006331014,10.8520485954736,15.4290683647993,20.0849043684667,11.3966607783919,9.56411543887335,13.0508769511344,11.8878001237128,14.296993176507,13.2213742371572,12.0363454284282, ,14.4612440507967, ,10.3978182032634,9.40149766353111, ,11.4435952411682, ,106.957403296184,97.425501512055,117.169847729622
North of Scotland,D06,Carcinoma in situ of the cervix uteri,Female, ,2015-2019,0,0,0,0,253,903,801,475,251,171,98,66,35,14,1,2,2,1,0,3073,0,0,0,0,120.17974710001,410.238238019953,361.405012746182,224.616024816524,118.808131966961,69.0359592566725,36.8968957662695,26.4202907833216,15.5429830092991,6.46493006331014,.542602429773681,1.40264257861812,1.82590039713334,1.42458259729899,0,86.80810578103,83.765735136684,89.9327347688372,89.9271168706267,86.7654588537675, ,93.1445627703711, ,92.6211416835709,89.3154573604981, ,95.9860548866158, ,111.650286255945,107.73726972043,115.669101293936
North of Scotland,C54,Corpus uteri,Female, ,2015-2019,0,0,0,0,0,1,2,9,17,30,68,133,185,183,166,132,84,46,25,1081,0,0,0,0,0,.45430591142852,.902384551176484,4.25588257547098,8.04676591011289,12.1115717994162,25.6019276745543,53.2408890027541,82.1557673348669,84.5058715418396,90.072003342431,92.5744101887957,76.6878166796001,65.5307994757536,59.7757214929584,30.5367921735416,28.7433281484361,32.4128547337844,28.3293616664825,26.6607895406484, ,30.0478625651993, ,14.2140133228147,13.3049242296509, ,15.1527196432112, ,100.257380224608,94.3691387989102,106.416806413138
North of Scotland,C56,Ovary,Female, ,2015-2019,1,0,1,5,9,11,16,17,25,41,56,69,88,124,109,88,66,38,23,787,.585356716382964,0,.567565880209545,2.7752800257546,4.27516886917033,4.99736502571371,7.21907640941187,8.03888930922297,11.8334792795778,16.5524814592022,21.0839404378683,27.6212130916544,39.0795001376664,57.2608091321755,59.1436648453312,61.7162734591971,60.2547131054001,54.1341386973617,54.9936637735217,22.2316886591834,20.7053943964526,23.8407248669207,20.8479757829152,19.4106831456808, ,22.3358740477635, ,11.5451718976174,10.6320184438614, ,12.4954092624863, ,99.003401184419,92.2064220824202,106.168851350485
North of Scotland,C53-C55,Uterus,Female, ,2015-2019,0,0,0,1,3,46,72,67,79,80,110,176,204,203,191,161,111,57,32,1593,0,0,0,.55505600515092,1.42505628972344,20.8980719257119,32.4858438423534,31.6826813951729,37.3937945234658,32.2975247984433,41.4148830029555,70.4541087555242,90.5933866827722,93.741485917997,103.637064086773,112.912727578758,101.3374720409,81.2012080460425,76.5129235109868,45.0001016951451,42.8171742640755,47.2654804766052,42.8625659432422,40.7735738433584, ,45.0030112193594, ,25.2980944714731,23.9217523040386, ,26.7123905587063, ,101.547022659175,96.6210386512309,106.659066005454
North of Scotland,C52,Vagina,Female, ,2015-2019,1,0,0,0,0,0,0,0,1,1,2,0,6,3,12,2,3,2,1,34,.585356716382964,0,0,0,0,0,0,0,.473339171183111,.403719059980541,.752997872781009,0,2.66451137302271,1.3853421564236,6.51122915728417,1.40264257861812,2.7388505957,2.84916519459798,2.39102885971834,.960454147918978,.665142417965132,1.34213840300213,.896222456497522,.619778981006633, ,1.22284478169274, ,.479992760524476,.295906642249456, ,.707884425236408, ,108.045515085235,74.8246600941783,150.98277766017
